Site_Code,Location,Date,Latitude,Longitude,nh,no23,din,tss,chl,sio2,tp,sal
C10,Delta,1976-01-20,37.67575,-121.265,0.25,1.02,1.27,43,4.14,15,0.2,0.5
C10,Delta,1976-02-17,37.67575,-121.265,0.19,1.64,1.83,65,7.1,16,0.12,0.6
C10,Delta,1976-03-09,37.67575,-121.265,0.13,1.53,1.66,26,12.66,15,0.16,0.5
C10,Delta,1976-03-22,37.67575,-121.265,0.14,1.4,1.54,67,14.67,15,0.23,0.5
C10,Delta,1976-04-05,37.67575,-121.265,NA,1.9,NA,106,23.93,20,0.33,0.6
C10,Delta,1976-04-19,37.67575,-121.265,0.13,1.5,1.63,104,56.35,15,0.28,0.5
C10,Delta,1976-05-06,37.67575,-121.265,0.1,1.6,1.7,141,81.82,19,0.2,0.6
C10,Delta,1976-05-20,37.67575,-121.265,0.06,1.2,1.26,149,142.03,14,0.52,0.6
C10,Delta,1976-06-03,37.67575,-121.265,0.02,0.98,1,171,142.03,15,0.47,0.6
C10,Delta,1976-06-17,37.67575,-121.265,0.04,1.4,1.44,136,101.89,15,0.58,0.5
C10,Delta,1976-07-06,37.67575,-121.265,NA,1.2,NA,195,253.18,13,0.79,0.5
C10,Delta,1976-07-19,37.67575,-121.265,0.01,1.2,1.21,257,209.95,12,0.11,0.5
C10,Delta,1976-08-03,37.67575,-121.265,NA,1.3,NA,241,142.03,15,0.55,0.5
C10,Delta,1976-08-26,37.67575,-121.265,NA,1.6,NA,80,34.73,21,0.24,0.5
C10,Delta,1976-09-14,37.67575,-121.265,0.08,2,2.08,89,34.73,23,0.2,0.4
C10,Delta,1976-09-27,37.67575,-121.265,0.48,1.7,2.18,44,14.67,22,0.38,0.5
C10,Delta,1976-10-12,37.67575,-121.265,0.54,1.5,2.04,41,6.95,23,0.42,0.6
C10,Delta,1976-10-28,37.67575,-121.265,0.51,1.6,2.11,50,15.44,23,0.77,0.6
C10,Delta,1976-11-09,37.67575,-121.265,0.2,1.6,1.8,36,20.84,22,0.25,0.7
C10,Delta,1976-12-14,37.67575,-121.265,0.31,1.6,1.91,17,2.35,21,0.21,0.8
C10,Delta,1977-01-25,37.67575,-121.265,0.4,2.4,2.8,18,17.6,19,0.29,1.3
C10,Delta,1977-02-23,37.67575,-121.265,0.29,2.2,2.49,28,12.04,20,0.1,1
C10,Delta,1977-03-09,37.67575,-121.265,0.11,1.3,1.41,25,11.89,19,0.13,0.6
C10,Delta,1977-03-28,37.67575,-121.265,0.18,2,2.18,41,20.07,21,0.21,0.8
C10,Delta,1977-04-12,37.67575,-121.265,0.03,2.2,2.23,46,82.59,20,0.14,0.9
C10,Delta,1977-04-25,37.67575,-121.265,0.07,1.9,1.97,52,61.75,22,0.16,0.9
C10,Delta,1977-05-10,37.67575,-121.265,0.31,2.7,3.01,102,132.76,22,0.4,0.9
C10,Delta,1977-05-24,37.67575,-121.265,0.03,1.4,1.43,48,172.9,18,0.3,0.9
C10,Delta,1977-06-06,37.67575,-121.265,0.02,0.74,0.76,70,213.04,20,0.17,0.8
