seg,stationid,lat,lon,chla_ugl,salinity_ppt,date
Hillsborough Bay,55,27.84930029,-82.43139639,33,23.1,1974-01-01
Hillsborough Bay,52,27.8969993,-82.4382019,28,22.6,1974-01-01
Hillsborough Bay,44,27.9237003,-82.4806976,24,20.4,1974-01-01
Hillsborough Bay,80,27.80960079,-82.44599909,11,23.9,1974-01-01
Hillsborough Bay,7,27.85889999,-82.4685974,19,21,1974-01-01
Hillsborough Bay,70,27.9088993,-82.46320339,58,21.2,1974-01-01
Hillsborough Bay,71,27.8764991,-82.4138031,73,23.3,1974-01-01
Hillsborough Bay,6,27.8892993,-82.47740169,53,20.4,1974-01-01
Hillsborough Bay,73,27.82810019,-82.41310109,17,23.9,1974-01-01
Hillsborough Bay,8,27.8523998,-82.40930169,46,20.4,1974-01-01
Middle Tampa Bay,11,27.81290049,-82.478897,43,21.9,1974-01-01
Middle Tampa Bay,13,27.8118,-82.52320089,3.2,24.5,1974-01-01
Middle Tampa Bay,14,27.7779998,-82.5203018,6,24.6,1974-01-01
Middle Tampa Bay,81,27.7812995,-82.4740982,10,24.4,1974-01-01
Middle Tampa Bay,32,27.7931995,-82.5707015,5.2,24.4,1974-01-01
Middle Tampa Bay,16,27.7238006,-82.5337982,6,26,1974-01-01
Middle Tampa Bay,33,27.8260993,-82.56749719,5.7,23.8,1974-01-01
Middle Tampa Bay,19,27.6933994,-82.55590049,4,26,1974-01-01
Middle Tampa Bay,28,27.70840069,-82.60919949,2.4,26,1974-01-01
Middle Tampa Bay,84,27.72899999,-82.49870299,6,23.7,1974-01-01
Middle Tampa Bay,82,27.75110049,-82.5718002,8,23.7,1974-01-01
Middle Tampa Bay,9,27.78650089,-82.4272003,10,24.7,1974-01-01
Old Tampa Bay,41,27.9374008,-82.5650024,2.7,23.15,1974-01-01
Old Tampa Bay,62,27.9699993,-82.57430259,2.4,20.8,1974-01-01
Old Tampa Bay,36,27.85580059,-82.55329889,5.2,24.1,1974-01-01
Old Tampa Bay,51,27.8901996,-82.54879759,5.2,22.15,1974-01-01
Old Tampa Bay,40,27.9291,-82.58730309,2.4,22.7,1974-01-01
